a,b,c
64.04893482777447,59.693848884933544,87.55353589244574
6.405854512638049,81.40159332551227,81.65325693424096
60.80718500198838,30.631087166990202,68.08654234793974
43.06953795372066,32.927519251144474,54.214450320753734
38.45185674772429,78.42347590935057,87.34292679462945
19.104304548465883,18.2603016061427,26.42750587981832
61.7849772850873,42.666550115157975,75.08540415319105
75.03639726538805,10.862488736838278,75.81856353246923
96.21318644264879,10.81684603133496,96.81932350266399
52.729101999950664,7.046292850060846,53.19782364580359
91.42063005186803,21.51089176011933,93.91725114906252
14.982602407676682,67.33590931258331,68.98262866736061
91.34011443769754,96.96012488245509,133.2076661559423
29.696462349198473,44.68731892487961,53.65478868424761
75.90911016973575,28.422984372847687,81.05590075633127
34.47066868488353,9.39325977169913,35.727584983057994
71.14119905046782,63.974077452058886,95.67524647567056
70.16601523146495,49.28497722746823,85.74542946288294
51.278619488475655,69.48457921906872,86.3574175499413
41.89270816343742,39.564689289108216,57.62259657296442
50.03080544864026,69.61755256835514,85.73030455706653
15.298608817264068,77.13859649291145,78.64102301369101
42.641366181007534,53.41767100625849,68.35008182523003
93.12728040427409,31.073604285220465,98.17463643309692
20.063478518228724,35.70778399003268,40.95838141003938
92.63750828742027,97.18391052015403,134.26250558399082
7.098113079236108,68.56298279934776,68.92942636950696
51.19469063096842,43.509236430164336,67.18593605462756
75.95416484168348,77.22442784842836,108.31734585612197
20.041197591649418,45.24710834309895,49.48687113083297
48.064352646391086,39.4545624077117,62.18395685464748
60.20184750283154,81.66677384801454,101.45799324595839
8.74646694735669,47.66196443292504,48.45785320942947
19.746740905246586,70.92373615684787,73.62139720777587
97.75922636412629,68.35923397326134,119.28894001005949
4.574806767695566,12.8854439067558,13.673460485038282
8.243193566903141,33.65779483801626,34.6525236243975
56.65340040725207,40.94112655605557,69.89838067783393
14.338138091456505,59.492042147663014,61.19546782915372
61.482262542102646,41.608522180424515,74.23838444723133
64.33005973973894,59.54837421258793,87.66051253261521
76.77996158375444,6.0244113576987655,77.01594661503277
76.71541506139208,58.71451544881017,96.60563768450696
92.90030866293786,59.04652717045197,110.07706264503994
54.33762750597781,60.698097875834364,81.46678371411727
19.121244462942403,72.71746079594304,75.18943472603793
77.02019755820645,84.3297554016986,114.2086620095668
90.27258155544857,94.20909756667436,130.47794083680307
11.86792264140394,52.52495767006579,53.84903681649795
31.213945183127752,27.46324505180844,41.575716502196144
30.577225942359604,45.10608403335811,54.493353385109934
42.06093573860974,99.39982153876583,107.93260321675724
70.25409992936085,5.540854939909236,70.472261424973
42.25300502236575,30.192193318972432,51.931541194444335
62.28075849503792,50.22272723497458,80.0075946997277
87.31398249972116,68.07577071605,110.71604264308685
14.726469662512564,80.73077550742029,82.06294549155785
34.290556984860466,6.147989902220191,34.83733741504601
21.18557228048868,60.36288862361895,63.97270352141792
54.458504413039755,17.843582347519863,57.30726074327574
75.44997634913139,38.42336891825111,84.67026756844761
84.09791311898843,26.54626325533372,88.18822531262553
26.262751625242633,16.690058155265735,31.11736113739944
79.51441406754245,43.69644002543114,90.72993395457033
24.067244168205395,91.26135133689114,94.38149442389381
6.386224597094271,53.255857833909694,53.637396079881924
48.23537232404864,34.81015623774616,59.48443595206981
30.65659574705282,51.68206110826444,60.090451015087226
57.501011830391484,71.50059108484577,91.7534788822808
44.718050542600686,62.75725221851535,77.05956624812353
56.69317611780413,35.65974970219253,66.9756221855936
80.8069242171748,31.50574876112008,86.73160442675467
98.18524367996528,44.02194451835097,107.60238694225576
79.93025406949542,43.636884963178595,91.06603782367921
81.02618139469841,59.781381928428175,100.69287808320492
65.55384587090032,46.647604504142464,80.45685623016007
22.293091934983718,54.2218552789244,58.62586065816227
52.19344839663433,90.17686636519215,104.19224195196999
74.93464409734719,54.97708650938439,92.93912484554836
72.92719613517009,10.951688555551193,73.74493486576118
13.161606042020837,65.8635810273033,67.1657589798962
14.886846082914861,15.393075315757521,21.414129773889506
13.316945800159345,94.6894344965865,95.62128450678608
14.571223731461016,92.65111868190614,93.78992671945612
67.69486951613001,47.097623494349484,82.46685090156753
97.7213278950861,84.29667625158109,129.05575365958236
73.63332049169986,4.085805561065121,73.74659106505342
9.082764366349812,35.619797085146296,36.75957770325484
69.93333742102381,48.145302230617,84.90372082376733
50.98022791953139,93.54843433728027,106.5377548368831
53.701228433114615,84.88860462345147,100.44847997925217
41.87332952465386,36.28277077312244,55.405912865462255
60.60139970163305,94.33526949319702,112.12347085312334
76.17285484398164,19.07254589960833,78.52430083849816
27.974187722142094,40.74991011422019,49.42782974226838
84.64126540738569,56.53142428444196,101.78381866186344
96.31995885905076,68.98327554570815,118.47458284216208
34.65388021712895,73.02502612936574,80.83035231457099
30.574690679413912,69.40415301669955,75.84028063046237
87.53961524476931,7.824615683945885,87.88861614454798
91.2719587595509,4.957392285952375,91.40648879637584
60.96553123891869,65.19275930678039,89.2574471138144
57.647081555461384,35.382933578111555,67.63976641336862
38.42555796851837,6.976828940663702,39.05380451709216
97.9435030210738,31.89617644430696,103.00629037008106
37.90150868244583,10.177683699457443,39.24423022422173
10.361108890945006,23.135074628983112,25.349245660150082
81.73786250589744,29.550274585210534,86.91545832068272
81.07249889706313,7.005194824175221,81.37458345170778
28.539193078106216,8.94627730173221,29.90855093629437
8.683889891208569,31.96324632490386,33.121881879946294
50.25260732267074,39.65951603982346,64.01719890185414
87.97344463140153,15.457529179712607,89.32111826805539
17.642650994689205,88.44422493389253,90.1867177486651
69.79262956332444,60.88034624437865,92.61440330855054
19.21196593587021,48.57408511535265,52.23544179878793
